 TIME                    	Dry                      	Total                    	Horizontal               	
 HOURS              	Unit1               	Unit2               	Unit3               	
  +6.7875000000000000E+01	  -3.0625000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8000000000000000E+01	  -3.6875000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8125000000000000E+01	  -4.3125000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8250000000000000E+01	  -4.9375000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8375000000000000E+01	  -5.5625000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8500000000000000E+01	  -6.1875000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8625000000000000E+01	  -6.8125000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8750000000000000E+01	  -7.4375000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.8875000000000000E+01	  -8.0625000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9000000000000000E+01	  -8.6875000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9125000000000000E+01	  -9.3125000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9250000000000000E+01	  -9.9375000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9375000000000000E+01	  -1.0562499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9500000000000000E+01	  -1.1187499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9625000000000000E+01	  -1.1812499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9750000000000000E+01	  -1.2437499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.9875000000000000E+01	  -1.3062499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0000000000000000E+01	  -1.3687499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0125000000000000E+01	  -1.4312499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0250000000000000E+01	  -1.4937499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0375000000000000E+01	  -1.5562499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0500000000000000E+01	  -1.6187499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0625000000000000E+01	  -1.6812499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0750000000000000E+01	  -1.7437499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0875000000000000E+01	  -1.8062499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1000000000000000E+01	  -1.8687499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1125000000000000E+01	  -1.9249999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1250000000000000E+01	  -1.9749999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1375000000000000E+01	  -2.0249999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1500000000000000E+01	  -2.0749999999999997E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1625000000000000E+01	  -2.1250000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.1750000000000000E+01	  -2.1749999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
